,Name,Price,Rating,Review,URL
0,American Tourister Casual Backpack,"1,099",4.1,"42,675",https://www.amazon.com/gp/bestsellers/luggage/ref=sr_bs_2_luggage_1
1,IRMAO 2022 New Flower Embroidered Artistic National Style Oxford Large Capacity Women's Bag Generation Backpack (N),499,Null,Null,https://www.amazon.com/IRMAO-Embroidered-Artistic-National-Generation/dp/B0B7DKKLXD/ref=sr_1_omk_4?crid=2M096C61O4MLT&keywords=bags&qid=1658673180&sprefix=ba%2Caps%2C283&sr=8-4
2,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),645,3.9,"11,193",https://www.amazon.com/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1658673180&smid=A1UVZJ9N7FK5G6&sprefix=ba%2Caps%2C283&sr=8-5
3,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )",699,3.9,483,https://www.amazon.com/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1658673180&sprefix=ba%2Caps%2C283&sr=8-6
4,Northzone Lightweight School Bags Backpacks for Boys Girls Stylish Men and Women Casual Travel Laptop Bag College Office (Navy Blue) 40L,599,4.1,"3,137",https://www.amazon.com/Northzone-Polyester-School-Backpack-Compartment/dp/B08678P2T7/ref=ice_ac_b_dpb?crid=2M096C61O4MLT&keywords=bags&qid=1658673180&sprefix=ba%2Caps%2C283&sr=8-7
5,Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black),548,4.3,"6,600",https://www.amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1658673180&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-8
6,DIVING DEEP Women Backpack Latest School Bag for Girls (Black),391,3.3,"1,062",https://www.amazon.com/DIVING-DEEP-Backpack-Polyester-Bag/dp/B08F7YYZTJ/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1658673180&smid=A7G7LRDIK7CR7&sprefix=ba%2Caps%2C283&sr=8-9
7,TRUE HUMAN Anti-Theft and USB Charging Port Backpack with Combination Lock Laptop Bag (Grey),695,3.8,870,https://www.amazon.com/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1658673180&sprefix=ba%2Caps%2C283&sr=8-10
8,"POLESTAR Vintage 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women,1 year warranty",567,4.0,"6,181",https://www.amazon.com/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1658673180&smid=A3HBYWQBT33AGW&sprefix=ba%2Caps%2C283&sr=8-13
9,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,448,4.3,"10,603",https://www.amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1658673180&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-14
